,artist,filename,nearest_artist,nearest_filename
0,Pissarro,../paintings/training/training/Pissarro/208357.jpg,Gauguin,../paintings/training/training/Gauguin/190525.jpg
1,Pissarro,../paintings/training/training/Pissarro/208082.jpg,Hassam,../paintings/training/training/Hassam/244212.jpg
2,Pissarro,../paintings/training/training/Pissarro/208388.jpg,Matisse,../paintings/training/training/Matisse/214287.jpg
3,Pissarro,../paintings/training/training/Pissarro/208305.jpg,Gauguin,../paintings/training/training/Gauguin/190801.jpg
4,Pissarro,../paintings/training/training/Pissarro/208420.jpg,Gauguin,../paintings/training/training/Gauguin/190613.jpg
5,Pissarro,../paintings/training/training/Pissarro/208802.jpg,Sargent,../paintings/training/training/Sargent/265663.jpg
6,Pissarro,../paintings/training/training/Pissarro/208288.jpg,Cezanne,../paintings/training/training/Cezanne/215961.jpg
7,Pissarro,../paintings/training/training/Pissarro/208565.jpg,Cezanne,../paintings/training/training/Cezanne/215858.jpg
8,Pissarro,../paintings/training/training/Pissarro/208387.jpg,VanGogh,../paintings/training/training/VanGogh/206782.jpg
9,Pissarro,../paintings/training/training/Pissarro/208298.jpg,Gauguin,../paintings/training/training/Gauguin/190584.jpg
10,Pissarro,../paintings/training/training/Pissarro/208510.jpg,Monet,../paintings/training/training/Monet/212643.jpg
11,Pissarro,../paintings/training/training/Pissarro/208404.jpg,Renoir,../paintings/training/training/Renoir/218177.jpg
12,Pissarro,../paintings/training/training/Pissarro/208483.jpg,Degas,../paintings/training/training/Degas/213406.jpg
13,Pissarro,../paintings/training/training/Pissarro/208422.jpg,Gauguin,../paintings/training/training/Gauguin/190612.jpg
14,Pissarro,../paintings/training/training/Pissarro/208193.jpg,Sargent,../paintings/training/training/Sargent/265663.jpg
15,Pissarro,../paintings/training/training/Pissarro/208315.jpg,Gauguin,../paintings/training/training/Gauguin/190722.jpg
16,Pissarro,../paintings/training/training/Pissarro/208518.jpg,Hassam,../paintings/training/training/Hassam/244391.jpg
17,Pissarro,../paintings/training/training/Pissarro/208911.jpg,VanGogh,../paintings/training/training/VanGogh/207496.jpg
18,Pissarro,../paintings/training/training/Pissarro/208180.jpg,Monet,../paintings/training/training/Monet/212735.jpg
19,Pissarro,../paintings/training/training/Pissarro/208307.jpg,Hassam,../paintings/training/training/Hassam/243910.jpg
20,Pissarro,../paintings/training/training/Pissarro/208919.jpg,Gauguin,../paintings/training/training/Gauguin/190947.jpg
21,Pissarro,../paintings/training/training/Pissarro/208643.jpg,Monet,../paintings/training/training/Monet/211772.jpg
22,Pissarro,../paintings/training/training/Pissarro/208579.jpg,VanGogh,../paintings/training/training/VanGogh/206396.jpg
23,Pissarro,../paintings/training/training/Pissarro/208861.jpg,Degas,../paintings/training/training/Degas/213682.jpg
24,Pissarro,../paintings/training/training/Pissarro/208471.jpg,Sargent,../paintings/training/training/Sargent/265645.jpg
25,Pissarro,../paintings/training/training/Pissarro/208479.jpg,Renoir,../paintings/training/training/Renoir/218397.jpg
26,Pissarro,../paintings/training/training/Pissarro/208884.jpg,Monet,../paintings/training/training/Monet/211772.jpg
27,Pissarro,../paintings/training/training/Pissarro/208186.jpg,Hassam,../paintings/training/training/Hassam/243873.jpg
28,Pissarro,../paintings/training/training/Pissarro/208441.jpg,Degas,../paintings/training/training/Degas/213811.jpg
29,Pissarro,../paintings/training/training/Pissarro/208451.jpg,Hassam,../paintings/training/training/Hassam/244272.jpg
30,Pissarro,../paintings/training/training/Pissarro/208912.jpg,Degas,../paintings/training/training/Degas/213728.jpg
31,Pissarro,../paintings/training/training/Pissarro/208046.jpg,Matisse,../paintings/training/training/Matisse/214192.jpg
32,Pissarro,../paintings/training/training/Pissarro/208262.jpg,Gauguin,../paintings/training/training/Gauguin/190551.jpg
33,Pissarro,../paintings/training/training/Pissarro/208457.jpg,Renoir,../paintings/training/training/Renoir/219140.jpg
34,Pissarro,../paintings/training/training/Pissarro/208351.jpg,Monet,../paintings/training/training/Monet/212624.jpg
35,Pissarro,../paintings/training/training/Pissarro/208596.jpg,Gauguin,../paintings/training/training/Gauguin/190767.jpg
36,Pissarro,../paintings/training/training/Pissarro/208390.jpg,Monet,../paintings/training/training/Monet/212787.jpg
37,Pissarro,../paintings/training/training/Pissarro/208516.jpg,Hassam,../paintings/training/training/Hassam/244348.jpg
38,Pissarro,../paintings/training/training/Pissarro/208242.jpg,VanGogh,../paintings/training/training/VanGogh/207476.jpg
39,Pissarro,../paintings/training/training/Pissarro/208429.jpg,Degas,../paintings/training/training/Degas/213625.jpg
40,Pissarro,../paintings/training/training/Pissarro/208494.jpg,Gauguin,../paintings/training/training/Gauguin/190529.jpg
41,Pissarro,../paintings/training/training/Pissarro/208860.jpg,Renoir,../paintings/training/training/Renoir/218984.jpg
42,Pissarro,../paintings/training/training/Pissarro/208506.jpg,Monet,../paintings/training/training/Monet/212719.jpg
43,Pissarro,../paintings/training/training/Pissarro/208218.jpg,VanGogh,../paintings/training/training/VanGogh/206130.jpg
44,Pissarro,../paintings/training/training/Pissarro/208362.jpg,Gauguin,../paintings/training/training/Gauguin/190584.jpg
45,Pissarro,../paintings/training/training/Pissarro/208299.jpg,Monet,../paintings/training/training/Monet/212775.jpg
46,Pissarro,../paintings/training/training/Pissarro/208663.jpg,Gauguin,../paintings/training/training/Gauguin/190470.jpg
47,Pissarro,../paintings/training/training/Pissarro/208676.jpg,Degas,../paintings/training/training/Degas/213516.jpg
48,Pissarro,../paintings/training/training/Pissarro/208746.jpg,Hassam,../paintings/training/training/Hassam/244217.jpg
49,Pissarro,../paintings/training/training/Pissarro/208901.jpg,Sargent,../paintings/training/training/Sargent/266029.jpg
50,Pissarro,../paintings/training/training/Pissarro/208878.jpg,Hassam,../paintings/training/training/Hassam/244043.jpg
51,Pissarro,../paintings/training/training/Pissarro/208036.jpg,Hassam,../paintings/training/training/Hassam/243881.jpg
52,Pissarro,../paintings/training/training/Pissarro/208039.jpg,Monet,../paintings/training/training/Monet/212788.jpg
53,Pissarro,../paintings/training/training/Pissarro/208232.jpg,Hassam,../paintings/training/training/Hassam/244199.jpg
54,Pissarro,../paintings/training/training/Pissarro/208864.jpg,VanGogh,../paintings/training/training/VanGogh/205699.jpg
55,Pissarro,../paintings/training/training/Pissarro/208701.jpg,Cezanne,../paintings/training/training/Cezanne/215859.jpg
